epoch,loss,lr,best_loss,iou_Free,iou_Road,iou_Vehicle,iou_Pedestrian,iou_StaticObst,miou_all,miou_fg
60,0.541103,0.00005050,0.541103,0.7436,0.9754,0.0095,0.0000,0.0000,0.3457,0.2462
61,0.540746,0.00004791,0.540746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,0.540239,0.00004533,0.540239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,0.539708,0.00004276,0.539708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,0.540817,0.00004021,0.539708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.539863,0.00003769,0.539708,0.7435,0.9751,0.0095,0.0000,0.0000,0.3456,0.2462
66,0.539301,0.00003520,0.539301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,0.538793,0.00003276,0.538793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,0.538587,0.00003037,0.538587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,0.538581,0.00002803,0.538581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,0.538577,0.00002575,0.538577,0.8078,0.9752,0.0104,0.0000,0.0000,0.3587,0.2464
71,0.538239,0.00002354,0.538239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,0.537963,0.00002140,0.537963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,0.537944,0.00001935,0.537944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,0.537586,0.00001738,0.537586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,0.537445,0.00001550,0.537445,0.7435,0.9750,0.0095,0.0000,0.0000,0.3456,0.2461
76,0.537176,0.00001371,0.537176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,0.537206,0.00001203,0.537176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,0.537198,0.00001045,0.537176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,0.536964,0.00000899,0.536964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,0.536950,0.00000763,0.536950,0.8056,0.9754,0.0099,0.0000,0.0000,0.3582,0.2463
81,0.536834,0.00000640,0.536834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,0.536951,0.00000528,0.536834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,0.536688,0.00000429,0.536688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,0.536578,0.00000342,0.536578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,0.536602,0.00000269,0.536578,0.8687,0.9754,0.0114,0.0000,0.0000,0.3711,0.2467
86,0.536525,0.00000208,0.536525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,0.536447,0.00000161,0.536447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,0.536461,0.00000127,0.536447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,0.536397,0.00000107,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,0.536414,0.00010000,0.536397,0.7439,0.9754,0.0095,0.0000,0.0000,0.3458,0.2462
91,0.540929,0.00009998,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,0.547184,0.00009993,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,0.549407,0.00009985,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
