epoch,phase,loss,lr,best_loss,iou_Free,iou_Road,iou_Vehicle,iou_Pedestrian,iou_StaticObst,miou_all,miou_fg
50,1,0.612861,0.00003014,0.612861,0.5503,0.9483,0.0273,0.0000,0.0000,0.3052,0.2439
51,1,0.612510,0.00002484,0.612510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,1,0.612352,0.00002000,0.612352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,1,0.612064,0.00001566,0.612064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,1,0.611836,0.00001184,0.611836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,1,0.611729,0.00000857,0.611729,0.6142,0.9481,0.0277,0.0000,0.0000,0.3180,0.2440
56,1,0.611444,0.00000587,0.611444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,1,0.611494,0.00000375,0.611444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,1,0.611343,0.00000223,0.611343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,1,0.611293,0.00000131,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,1,0.611443,0.00020000,0.611293,0.6106,0.9481,0.0279,0.0000,0.0000,0.3173,0.2440
61,2,0.661044,0.00019992,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,2,0.659343,0.00019969,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,2,0.649210,0.00019931,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,2,0.644961,0.00019877,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,2,0.642568,0.00019809,0.611293,0.4789,0.9476,0.0260,0.0004,0.0000,0.2906,0.2435
66,2,0.640635,0.00019725,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,2,0.638318,0.00019626,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,2,0.637399,0.00019513,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,2,0.636216,0.00019385,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,2,0.635046,0.00019243,0.611293,0.4801,0.9480,0.0259,0.0001,0.0000,0.2908,0.2435
71,2,0.634451,0.00019086,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,2,0.634816,0.00018916,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,2,0.633809,0.00018731,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,2,0.633425,0.00018534,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,2,0.632931,0.00018323,0.611293,0.5472,0.9474,0.0277,0.0000,0.0000,0.3045,0.2438
76,2,0.632231,0.00018100,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,2,0.631318,0.00017864,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,2,0.631023,0.00017616,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,2,0.629900,0.00017357,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,2,0.629817,0.00017086,0.611293,0.5479,0.9480,0.0275,0.0000,0.0000,0.3047,0.2439
81,2,0.629701,0.00016804,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,2,0.629111,0.00016512,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,2,0.628666,0.00016210,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,2,0.628326,0.00015898,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,2,0.628190,0.00015578,0.611293,0.5509,0.9481,0.0274,0.0000,0.0000,0.3053,0.2439
86,2,0.628010,0.00015249,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,2,0.627680,0.00014912,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,2,0.627583,0.00014567,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,2,0.627380,0.00014216,0.611293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
