epoch,loss,lr,best_loss,iou_Free,iou_Road,iou_Vehicle,iou_Pedestrian,iou_StaticObst,miou_all,miou_fg
59,0.207271,0.00000131,0.206200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145,0.102671,0.00019952,0.100033,0.9965,0.9889,0.0021,0.0000,0.0000,0.3975,0.2478
146,0.102062,0.00019931,0.100033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.207684,0.00020000,0.206200,0.9933,0.9748,0.0000,0.0003,0.0000,0.3937,0.2438
147,0.101594,0.00019906,0.100033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
148,0.101318,0.00019877,0.100033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
149,0.101181,0.00019845,0.100033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.208430,0.00019992,0.206200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
150,0.100964,0.00019809,0.100033,0.9967,0.9893,0.0003,0.0000,0.0000,0.3973,0.2474
62,0.209679,0.00019969,0.206200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,0.210401,0.00019931,0.206200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,0.209290,0.00019877,0.206200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.207704,0.00019809,0.206200,0.9933,0.9748,0.0000,0.0001,0.0000,0.3937,0.2437
66,0.206825,0.00019725,0.206200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,0.206301,0.00019626,0.206200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,0.207155,0.00019513,0.206200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,0.205760,0.00019385,0.205760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,0.205355,0.00019243,0.205355,0.9923,0.9748,0.0170,0.0005,0.0000,0.3969,0.2481
71,0.205896,0.00019086,0.205355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,0.204939,0.00018916,0.204939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,0.205185,0.00018731,0.204939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,0.204539,0.00018534,0.204539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,0.204523,0.00018323,0.204523,0.9923,0.9747,0.0170,0.0001,0.0000,0.3968,0.2480
76,0.204897,0.00018100,0.204523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,0.204156,0.00017864,0.204156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,0.203973,0.00017616,0.203973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,0.204183,0.00017357,0.203973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,0.203555,0.00017086,0.203555,0.9918,0.9748,0.0236,0.0001,0.0000,0.3981,0.2496
81,0.203589,0.00016804,0.203555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,0.203494,0.00016512,0.203494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,0.204532,0.00016210,0.203494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,0.203141,0.00015898,0.203141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,0.202971,0.00015578,0.202971,0.9923,0.9748,0.0170,0.0001,0.0000,0.3969,0.2480
